ID,adj.P.Val,logFC,GI,Gene.symbol,Gene.title
ILMN_1665887,3.24e-11,0.45676381,735997409,WDR61,WD repeat domain 61
ILMN_1662848,3.24e-11,0.50254508,94421468,TXNDC15,thioredoxin domain containing 15
ILMN_2128128,3.33e-11,0.54519411,5453639,SHFM1,split hand/foot malformation (ectrodactyly) type 1
ILMN_1666924,3.33e-11,0.56023292,112382374,PINK1,PTEN induced putative kinase 1
ILMN_1786823,3.45e-11,0.85263673,153082685,ICAM2,intercellular adhesion molecule 2
ILMN_1685574,3.45e-11,-0.5869171,737675428,TSC22D2,TSC22 domain family member 2
ILMN_1676010,3.51e-11,0.6067267,38372900,SP1,Sp1 transcription factor
ILMN_1707088,3.53e-11,1.31384248,426214079,DENND2D,DENN domain containing 2D
ILMN_2186061,3.53e-11,-1.97060451,223941849,PFKFB3,6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
ILMN_3244065,3.53e-11,1.02154044,153792574,C9orf69,chromosome 9 open reading frame 69
ILMN_2118229,3.61e-11,0.47446183,170932480,NAPEPLD,N-acyl phosphatidylethanolamine phospholipase D
ILMN_1801584,3.67e-11,-2.26534263,56790928,CXCR4,C-X-C motif chemokine receptor 4
ILMN_1679476,3.73e-11,0.6869525,209869996,GART,phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
ILMN_1708922,4.12e-11,-0.55800089,62362411,ABL1,ABL proto-oncogene 1, non-receptor tyrosine kinase
ILMN_1719039,4.16e-11,-0.65520996,75992937,UBE2G1,ubiquitin conjugating enzyme E2 G1
ILMN_1792587,4.16e-11,0.6020002,91208441,VPS4B,vacuolar protein sorting 4 homolog B
ILMN_2373010,4.31e-11,-0.99701031,289191373,TMEM70,transmembrane protein 70
ILMN_1798346,4.32e-11,-0.53687935,109948291,KIAA1468,KIAA1468
ILMN_1725642,4.41e-11,-0.61041444,48928057,SUMO3,small ubiquitin-like modifier 3
ILMN_1694799,4.52e-11,-0.63844542,1022429528,PIAS2,protein inhibitor of activated STAT 2
ILMN_3203515,4.52e-11,-1.16647782,NA,,
ILMN_1663090,4.57e-11,-0.83832324,520261944,SON,SON DNA binding protein
ILMN_1674024,4.63e-11,-0.74776583,427197647,IKZF5,IKAROS family zinc finger 5
ILMN_1798448,4.63e-11,-0.78640923,262118208,IDS,iduronate 2-sulfatase
ILMN_2198185,4.87e-11,0.62272835,133778990,TMEM187,transmembrane protein 187
ILMN_1652505,4.89e-11,0.6738822,414144886,APEX2,apurinic/apyrimidinic endodeoxyribonuclease 2
ILMN_1668027,4.91e-11,-0.85219799,NA,,
ILMN_1790962,4.97e-11,0.87764877,307938277,RINL,Ras and Rab interactor like
ILMN_3251472,5.59e-11,-0.58101949,208609996,TOMM20,translocase of outer mitochondrial membrane 20
ILMN_1677607,5.59e-11,-1.17887732,122939199,SC5D,sterol-C5-desaturase
ILMN_3238078,6.16e-11,-0.8858952,91680848,SNORA3B,small nucleolar RNA, H/ACA box 3B
ILMN_1695706,6.51e-11,-0.97416538,744066864,H3F3B,H3 histone, family 3B
ILMN_1697153,6.69e-11,-0.5736152,103471992,ZDHHC17,zinc finger DHHC-type containing 17
ILMN_2049536,6.94e-11,0.64560459,302148506,TRPV2,transient receptor potential cation channel subfamily V member 2
ILMN_2358277,7.25e-11,-0.72050376,301500650,RSRC2,arginine and serine rich coiled-coil 2
ILMN_1775708,7.26e-11,-1.05965356,221136810,SLC2A3,solute carrier family 2 member 3
ILMN_2340217,7.58e-11,0.98050651,392307008,PTPRC,protein tyrosine phosphatase, receptor type C
ILMN_1755909,7.58e-11,-0.50785279,40804466,GID8,GID complex subunit 8 homolog
ILMN_2312709,7.58e-11,0.70173486,74048433,LCMT1,leucine carboxyl methyltransferase 1
ILMN_1717639,7.59e-11,-1.21489917,116256470,SIK1,salt inducible kinase 1
ILMN_1740197,7.74e-11,0.44825478,221307569,ZNF234,zinc finger protein 234
ILMN_1654268,7.90e-11,-0.72254571,194688131,HMGB2,high mobility group box 2
ILMN_1668822,8.19e-11,0.80384402,217416400,BATF,basic leucine zipper ATF-like transcription factor
ILMN_1786976,8.37e-11,0.72098089,34577103,RAB22A,RAB22A, member RAS oncogene family
ILMN_1672417,8.51e-11,1.03658312,65507613,PTPRCAP,protein tyrosine phosphatase, receptor type C associated protein
ILMN_1653871,8.55e-11,-1.98431266,111161293,NAMPT,nicotinamide phosphoribosyltransferase
ILMN_1765254,8.97e-11,-0.74036286,NA,,
ILMN_1763260,8.97e-11,-1.19118268,194473733,HIF1A,hypoxia inducible factor 1 alpha subunit
ILMN_3279927,9.84e-11,-0.66131706,NA,,
ILMN_1687410,1.04e-10,0.553815,197333804,OSBPL11,oxysterol binding protein like 11
ILMN_1663667,1.08e-10,0.57623473,296434317,FLAD1,flavin adenine dinucleotide synthetase 1
ILMN_1754051,1.12e-10,0.4055128,153791760,RMI1,RecQ mediated genome instability 1
ILMN_1702691,1.12e-10,-1.72495448,395393993,TNFAIP3,TNF alpha induced protein 3
ILMN_1679727,1.17e-10,-0.98541511,241666390,CLK1,CDC like kinase 1
ILMN_2341952,1.18e-10,0.60401272,169646175,MRPL35,mitochondrial ribosomal protein L35
ILMN_2088437,1.20e-10,2.22930726,68348719,CX3CR1,C-X3-C motif chemokine receptor 1
ILMN_3247261,1.22e-10,-0.78712373,151301091,RAPGEF2,Rap guanine nucleotide exchange factor 2
ILMN_1676984,1.23e-10,-0.759589,304282232,DDIT3,DNA damage inducible transcript 3
ILMN_3181215,1.23e-10,-0.6911953,206597503,AGFG1,ArfGAP with FG repeats 1
ILMN_3305938,1.32e-10,-1.45758862,163644253,SGK1,serum/glucocorticoid regulated kinase 1
ILMN_2183510,1.37e-10,0.73570073,618857508,MANF,mesencephalic astrocyte derived neurotrophic factor
ILMN_1852793,1.43e-10,-0.9088278,45709395,,
ILMN_1672295,1.43e-10,-1.12192156,156151382,ZC3H12A,zinc finger CCCH-type containing 12A
ILMN_1715179,1.54e-10,-0.66641596,1005261157,SNRPA1,small nuclear ribonucleoprotein polypeptide A'
ILMN_2210837,1.66e-10,0.55373709,38683841,CDC26,cell division cycle 26
ILMN_1783023,1.68e-10,0.5544102,966209724,C5orf51,chromosome 5 open reading frame 51
ILMN_2380418,1.68e-10,0.87550975,51479165,BICD2,BICD cargo adaptor 2
ILMN_2179873,1.71e-10,-0.43060739,148612878,PHC3,polyhomeotic homolog 3
ILMN_1727023,1.72e-10,0.36554119,42544150,AMMECR1L,AMMECR1 like
ILMN_1786328,1.78e-10,1.00101465,254553397,DCAF12,DDB1 and CUL4 associated factor 12
