ID,adj.P.Val,logFC,GI,Gene.symbol,Gene.title
ILMN_1659063,5.19e-01,-0.04281156,52546692,OR51G1,olfactory receptor family 51 subfamily G member 1 (gene/pseudogene)
ILMN_1859584,5.19e-01,-0.04165715,10439674,LOC101930164,uncharacterized LOC101930164
ILMN_3241965,5.19e-01,-0.03860786,NA,,
ILMN_3304872,5.19e-01,-0.0392404,NA,,
ILMN_1663502,5.19e-01,-0.04039014,109633016,WHSC1,Wolf-Hirschhorn syndrome candidate 1
ILMN_2307861,5.19e-01,0.03786801,190343014,COL6A3,collagen type VI alpha 3 chain
ILMN_2169025,5.19e-01,0.06879818,397529607,JOSD2,Josephin domain containing 2
ILMN_1728830,5.19e-01,-0.04956027,51896033,GRK5,G protein-coupled receptor kinase 5
ILMN_1714400,5.19e-01,-0.0404672,NA,,
ILMN_1681043,5.19e-01,0.03448089,NA,,
ILMN_1771710,5.19e-01,-0.03990855,114520588,S100B,S100 calcium binding protein B
ILMN_2341132,5.19e-01,-0.0418112,446715104,TNNT2,troponin T2, cardiac type
ILMN_1802089,5.19e-01,-0.07183508,124028528,SYMPK,symplekin
ILMN_2139761,5.19e-01,-0.03781943,574281662,LIMCH1,LIM and calponin homology domains 1
ILMN_1766678,5.19e-01,-0.04217387,343183349,NKX2-6,NK2 homeobox 6
ILMN_2059886,5.20e-01,0.11377232,116812607,TTC38,tetratricopeptide repeat domain 38
ILMN_1683149,5.20e-01,0.03834257,584277183,LOC388882,uncharacterized LOC388882
ILMN_3202648,5.20e-01,0.0382306,NA,,
ILMN_3289721,5.20e-01,-0.03843367,NA,,
ILMN_1794637,5.20e-01,-0.04870841,NA,,
ILMN_1787410,5.20e-01,0.07000354,392494082,EIF6,eukaryotic translation initiation factor 6
ILMN_1780047,5.20e-01,-0.0287107,388240776,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5
ILMN_1771058,5.20e-01,0.0327543,162951871,VAX1,ventral anterior homeobox 1
ILMN_3209755,5.20e-01,0.04089475,NA,,
ILMN_1775835,5.20e-01,-0.03708015,NA,,
ILMN_1807611,5.20e-01,0.07030113,42560243,PPIG,peptidylprolyl isomerase G
ILMN_1730646,5.20e-01,0.0340041,597709774,WDR87,WD repeat domain 87
ILMN_1800058,5.20e-01,-0.03229598,260898746,NKX2-5,NK2 homeobox 5
ILMN_1706709,5.20e-01,0.03755801,594140541,ZNF571,zinc finger protein 571
ILMN_1653461,5.20e-01,0.03411521,222831648,CCSER1,coiled-coil serine rich protein 1
ILMN_1726420,5.20e-01,-0.03541754,20357592,BSND,barttin CLCNK type accessory beta subunit
ILMN_2385662,5.20e-01,0.04176894,55743125,LRIF1,ligand dependent nuclear receptor interacting factor 1
ILMN_1767032,5.20e-01,-0.03857417,146261995,DDI1,DNA damage inducible 1 homolog 1
ILMN_1719988,5.20e-01,0.05157227,385251405,HAL,histidine ammonia-lyase
ILMN_2389273,5.20e-01,-0.04890212,298231191,FXR1,FMR1 autosomal homolog 1
ILMN_1747217,5.20e-01,-0.03727453,589811560,C15orf41,chromosome 15 open reading frame 41
ILMN_1791099,5.20e-01,-0.03679552,310772203,TRIM6-TRIM34,TRIM6-TRIM34 readthrough
ILMN_3244041,5.20e-01,0.05986778,NA,,
ILMN_1675762,5.20e-01,0.02963314,295849307,ZNF365,zinc finger protein 365
ILMN_3224108,5.20e-01,0.05408273,228008350,EFCC1,EF-hand and coiled-coil domain containing 1
ILMN_1710889,5.20e-01,-0.04022455,126032339,SPAG11A,sperm associated antigen 11A
ILMN_3245564,5.20e-01,0.03802796,1007379599,ARHGAP44,Rho GTPase activating protein 44
ILMN_1762308,5.20e-01,-0.07088151,NA,,
ILMN_1665183,5.20e-01,0.04394458,NA,,
ILMN_1652466,5.20e-01,-0.03327508,NA,,
ILMN_1683921,5.20e-01,-0.03404467,NA,,
ILMN_2408566,5.20e-01,0.03080812,320202954,NR4A1,nuclear receptor subfamily 4 group A member 1
ILMN_1748178,5.20e-01,0.03118897,148806931,KY,kyphoscoliosis peptidase
ILMN_1763400,5.20e-01,0.04130092,NA,,
ILMN_1657618,5.20e-01,-0.04234096,395455087,WTAP,Wilms tumor 1 associated protein
ILMN_1663173,5.20e-01,-0.05322777,NA,,
ILMN_2304020,5.20e-01,-0.04049151,122937473,GRXCR2,glutaredoxin and cysteine rich domain containing 2
ILMN_1813882,5.20e-01,0.02979826,53828695,OR5B17,olfactory receptor family 5 subfamily B member 17
ILMN_1718240,5.20e-01,-0.03882232,NA,,
ILMN_1803217,5.20e-01,0.04398385,112821687,GPRIN2,G protein regulated inducer of neurite outgrowth 2
ILMN_1722502,5.20e-01,0.05782569,58331170,CCT6A,chaperonin containing TCP1 subunit 6A
ILMN_1675721,5.20e-01,-0.0472434,58530887,UBE2R2,ubiquitin conjugating enzyme E2 R2
ILMN_2221673,5.20e-01,-0.06714858,224589113,ASNSD1,asparagine synthetase domain containing 1
ILMN_3243061,5.21e-01,0.21681248,148762979,SIGLEC14,sialic acid binding Ig like lectin 14
ILMN_1678353,5.21e-01,-0.04182566,558472845,FARP1,FERM, ARH/RhoGEF and pleckstrin domain protein 1
ILMN_3263007,5.21e-01,-0.05463561,NA,,
ILMN_1787127,5.21e-01,-0.11906248,548960615,SLC43A2,solute carrier family 43 member 2
ILMN_3201060,5.21e-01,0.03276066,NA,,
ILMN_1738342,5.21e-01,-0.04508239,165377201,METTL15,methyltransferase like 15
ILMN_1757569,5.21e-01,-0.03858286,49574531,GSK3A,glycogen synthase kinase 3 alpha
ILMN_1761155,5.21e-01,0.0726142,56676313,PABPC1,poly(A) binding protein cytoplasmic 1
ILMN_1664437,5.21e-01,0.0290368,NA,,
ILMN_1722688,5.21e-01,-0.04876186,NA,,
ILMN_1833876,5.21e-01,-0.03334542,18995005,,
ILMN_1766204,5.21e-01,-0.03248597,189491650,GPHA2,glycoprotein hormone alpha 2
ILMN_1768567,5.21e-01,0.03367665,52317181,OR10S1,olfactory receptor family 10 subfamily S member 1
ILMN_1708398,5.21e-01,0.03402796,149274606,SLC25A41,solute carrier family 25 member 41
ILMN_1655809,5.21e-01,-0.03070864,673536520,SF3A1,splicing factor 3a subunit 1
ILMN_1790943,5.21e-01,0.03653713,NA,,
ILMN_1812359,5.21e-01,0.03170464,30795122,FBXW8,F-box and WD repeat domain containing 8
ILMN_1755926,5.21e-01,0.06680536,544063483,DBI,diazepam binding inhibitor, acyl-CoA binding protein
ILMN_3228007,5.21e-01,-0.04342867,NA,,
ILMN_1725157,5.21e-01,-0.03776188,NA,,
ILMN_1843804,5.21e-01,0.04351967,18971242,,
ILMN_1727825,5.21e-01,0.04062172,NA,,
ILMN_1670767,5.21e-01,0.03674541,231569308,LPO,lactoperoxidase
ILMN_1809590,5.22e-01,0.04241625,212720602,GINS2,GINS complex subunit 2
ILMN_1779416,5.22e-01,-0.03158412,283046662,SCUBE2,signal peptide, CUB domain and EGF like domain containing 2
ILMN_1697353,5.22e-01,0.03313282,171906610,SIRPB2,signal regulatory protein beta 2
ILMN_1709346,5.22e-01,0.0379342,365906278,CLTB,clathrin light chain B
ILMN_2338323,5.22e-01,0.13643862,566559973,CDC25B,cell division cycle 25B
ILMN_1697959,5.22e-01,0.04505382,197304722,SLC35B4,solute carrier family 35 member B4
ILMN_1836758,5.22e-01,0.04091671,27828295,,
ILMN_1700213,5.22e-01,-0.03456267,975830146,MMP17,matrix metallopeptidase 17
ILMN_1811039,5.22e-01,-0.03659995,57977304,GPR151,G protein-coupled receptor 151
ILMN_2047618,5.22e-01,-0.03284559,594140648,KCNE1,potassium voltage-gated channel subfamily E regulatory subunit 1
ILMN_2083595,5.22e-01,0.04317111,NA,,
ILMN_1798372,5.22e-01,0.05204078,148922903,ANXA2P3,annexin A2 pseudogene 3
ILMN_2046024,5.22e-01,0.05194589,205277446,DUSP11,dual specificity phosphatase 11
ILMN_1732985,5.22e-01,0.05856192,111120330,PHF20L1,PHD finger protein 20-like 1
ILMN_3235031,5.22e-01,-0.03804138,NA,,
ILMN_1898818,5.22e-01,-0.04126303,6702927,,
ILMN_1782230,5.22e-01,-0.03208728,NA,,
ILMN_1733997,5.22e-01,0.07062254,1041818013,SIRPB1,signal regulatory protein beta 1
ILMN_1808196,5.22e-01,0.09423745,300360529,GSTO1,glutathione S-transferase omega 1
ILMN_2228035,5.22e-01,-0.03859478,52426776,HS3ST1,heparan sulfate-glucosamine 3-sulfotransferase 1
ILMN_1656052,5.22e-01,-0.03765136,NA,,
ILMN_1805051,5.22e-01,0.04233039,NA,,
ILMN_3244130,5.22e-01,-0.04885937,NA,,
ILMN_2344120,5.22e-01,-0.03693888,815930048,ROPN1B,rhophilin associated tail protein 1B
ILMN_1669901,5.22e-01,0.03441967,NA,,
ILMN_3259751,5.22e-01,-0.03057474,NA,,
ILMN_1813374,5.22e-01,-0.0591678,566559814,MFSD12,major facilitator superfamily domain containing 12
ILMN_1667001,5.22e-01,0.04166637,NA,,
ILMN_1811579,5.22e-01,0.07504906,224809407,HOMER3,homer scaffolding protein 3
ILMN_1662772,5.22e-01,0.03499171,NA,,
ILMN_3235763,5.22e-01,-0.0379738,NA,,
ILMN_1743592,5.22e-01,-0.04108516,NA,,
ILMN_1768389,5.22e-01,0.03572638,NA,,
ILMN_3236893,5.22e-01,-0.03336111,NA,,
ILMN_2282718,5.22e-01,-0.03650974,402744305,HPS4,HPS4, biogenesis of lysosomal organelles complex 3 subunit 2
ILMN_3244483,5.22e-01,0.03990052,NA,,
ILMN_1663569,5.22e-01,-0.04300214,46255034,FTCD,formimidoyltransferase cyclodeaminase
ILMN_1760676,5.22e-01,0.06719892,388240810,MORF4L1,mortality factor 4 like 1
ILMN_1770934,5.22e-01,-0.0384406,NA,,
ILMN_1891136,5.22e-01,-0.04044055,3229350,,
ILMN_1768357,5.22e-01,0.0333343,45827774,RTN1,reticulon 1
ILMN_1689365,5.22e-01,0.0342285,NA,,
ILMN_3248018,5.22e-01,-0.04324086,226437591,TMEM114,transmembrane protein 114
ILMN_1812896,5.22e-01,0.04966431,85386052,ATP6V0A4,ATPase H+ transporting V0 subunit a4
ILMN_1758418,5.22e-01,0.15867889,325053718,TNFSF13B,tumor necrosis factor superfamily member 13b
ILMN_3294085,5.22e-01,0.0408805,NA,,
ILMN_1724376,5.22e-01,0.07033117,343183358,ERLEC1,endoplasmic reticulum lectin 1
ILMN_3224982,5.22e-01,-0.02820345,NA,,
ILMN_1805704,5.22e-01,0.03630716,NA,,
ILMN_1790816,5.22e-01,0.045217,NA,,
ILMN_1670071,5.22e-01,0.03407955,NA,,
ILMN_3246826,5.22e-01,0.0383084,194239712,LVRN,laeverin
ILMN_3256693,5.22e-01,-0.0580416,NA,,
ILMN_1755910,5.22e-01,0.10048624,NA,,
ILMN_1815490,5.22e-01,0.03634246,NA,,
ILMN_1771019,5.23e-01,0.06578476,217272864,MTMR4,myotubularin related protein 4
ILMN_3246304,5.23e-01,-0.04009324,193788658,CPSF4L,cleavage and polyadenylation specific factor 4 like
ILMN_2135833,5.23e-01,0.03829883,224548934,TAL2,TAL bHLH transcription factor 2
ILMN_3224856,5.23e-01,-0.1291494,NA,,
ILMN_1762139,5.23e-01,-0.03288148,302370924,CRB1,crumbs 1, cell polarity complex component
ILMN_3256868,5.23e-01,-0.05441655,NA,,
ILMN_1768721,5.23e-01,-0.04800965,144953902,DPPA4,developmental pluripotency associated 4
ILMN_1892599,5.23e-01,0.03955263,6035867,,
ILMN_3236423,5.23e-01,-0.04322398,209977033,RAB3GAP2,RAB3 GTPase activating non-catalytic protein subunit 2
ILMN_1723249,5.23e-01,-0.03903205,NA,,
ILMN_2351309,5.23e-01,-0.05821046,77695910,TIAL1,TIA1 cytotoxic granule-associated RNA binding protein-like 1
ILMN_3245255,5.23e-01,0.03477196,NA,,
ILMN_1754032,5.23e-01,-0.04683446,NA,,
ILMN_3235853,5.23e-01,0.13663929,187281589,S1PR1,sphingosine-1-phosphate receptor 1
ILMN_2136068,5.23e-01,-0.04480201,189491764,SEC63,SEC63 homolog, protein translocation regulator
ILMN_1880222,5.23e-01,-0.03071611,NA,,
ILMN_3253310,5.23e-01,-0.03514255,NA,,
ILMN_3237685,5.23e-01,0.04350156,94967026,SNORD70,small nucleolar RNA, C/D box 70
ILMN_3249372,5.23e-01,-0.03646735,211059440,ZNF843,zinc finger protein 843
ILMN_2206294,5.23e-01,0.03511486,22748710,TEX26,testis expressed 26
ILMN_1653878,5.23e-01,-0.03317827,148233695,CACNB2,calcium voltage-gated channel auxiliary subunit beta 2
ILMN_2140510,5.23e-01,0.03903458,269973861,KLHL13,kelch like family member 13
ILMN_2371251,5.23e-01,-0.03263886,387848968,MPG,N-methylpurine DNA glycosylase
ILMN_3267142,5.23e-01,0.02731832,NA,,
ILMN_3239514,5.23e-01,-0.03776554,609876967,GATSL2,GATS protein like 2
ILMN_1750940,5.24e-01,-0.03954673,527498300,SLITRK1,SLIT and NTRK like family member 1
ILMN_1689350,5.24e-01,-0.03716287,NA,,
ILMN_1885323,5.24e-01,0.03717823,6711912,,
ILMN_1808939,5.24e-01,-0.0548763,17158043,RPS6,ribosomal protein S6
ILMN_2048326,5.24e-01,-0.0383429,294459919,RPS27A,ribosomal protein S27a
ILMN_1676424,5.24e-01,0.03576947,167004077,METTL1,methyltransferase like 1
ILMN_1903651,5.24e-01,-0.03612134,46954991,LOC105376544,uncharacterized LOC105376544
ILMN_1658885,5.24e-01,0.09294024,218931250,DAGLB,diacylglycerol lipase beta
ILMN_1653263,5.24e-01,-0.03706985,112821680,GPRIN1,G protein regulated inducer of neurite outgrowth 1
ILMN_1742923,5.24e-01,0.03991674,966751365,ZNF584,zinc finger protein 584
ILMN_3200106,5.24e-01,0.03473707,NA,,
ILMN_3182017,5.24e-01,0.03452855,NA,,
ILMN_3165484,5.24e-01,0.04200995,103488733,,
ILMN_1897213,5.24e-01,0.04630338,NA,,
ILMN_1668242,5.24e-01,-0.03364406,544346320,PHEX,phosphate regulating endopeptidase homolog, X-linked
ILMN_1738356,5.24e-01,0.05563136,NA,,
ILMN_1759411,5.24e-01,0.06459626,312434027,BRICD5,BRICHOS domain containing 5
ILMN_1766542,5.24e-01,0.04679495,NA,,
ILMN_1748349,5.24e-01,-0.03637822,612339331,OR10G2,olfactory receptor family 10 subfamily G member 2
ILMN_1798964,5.24e-01,-0.04125495,NA,,
ILMN_1688790,5.24e-01,0.03429346,NA,,
ILMN_1859657,5.24e-01,0.04461351,NA,,
ILMN_3251242,5.24e-01,-0.04757128,197116349,CLMN,calmin
ILMN_3285568,5.24e-01,-0.03719256,NA,,
ILMN_1698940,5.24e-01,-0.04804915,NA,,
ILMN_1795701,5.24e-01,0.03819182,NA,,
ILMN_1737760,5.24e-01,-0.03619428,NA,,
ILMN_2186078,5.24e-01,-0.03029148,148276978,SLC25A52,solute carrier family 25 member 52
ILMN_1763044,5.24e-01,0.04092555,NA,,
ILMN_1798816,5.24e-01,-0.04358879,55774986,GOSR1,golgi SNAP receptor complex member 1
ILMN_1828083,5.24e-01,-0.04008228,83153537,,
ILMN_2078995,5.24e-01,-0.04309827,288557240,CSRNP3,cysteine and serine rich nuclear protein 3
ILMN_3266606,5.24e-01,-0.11400593,NA,,
ILMN_1721659,5.24e-01,-0.08331618,NA,,
ILMN_1767474,5.24e-01,-0.02952116,666335626,HAO2,hydroxyacid oxidase 2
ILMN_1899936,5.24e-01,-0.05117353,306035185,TMEM99,transmembrane protein 99
ILMN_3238359,5.24e-01,0.02745959,NA,,
ILMN_3251256,5.24e-01,-0.03450416,52353948,OR4C46,olfactory receptor family 4 subfamily C member 46
ILMN_1800555,5.24e-01,-0.04268594,NA,,
ILMN_3188583,5.24e-01,-0.03353105,NA,,
ILMN_3279282,5.24e-01,0.04636087,NA,,
ILMN_1666564,5.24e-01,-0.09077135,NA,,
ILMN_1655462,5.24e-01,-0.04003858,NA,,
ILMN_1765014,5.24e-01,0.03540226,61966922,FOXB2,forkhead box B2
ILMN_1814952,5.24e-01,0.03986175,186928862,FLCN,folliculin
ILMN_1677435,5.24e-01,0.04010393,NA,,
ILMN_1704730,5.25e-01,0.14697652,88758612,CD93,CD93 molecule
ILMN_2312764,5.25e-01,0.04344909,109715838,AJAP1,adherens junctions associated protein 1
ILMN_1691843,5.25e-01,-0.0642274,557636733,RNPS1,RNA binding protein with serine rich domain 1
ILMN_2306935,5.25e-01,-0.04264457,507144068,CFAP65,cilia and flagella associated protein 65
ILMN_1785000,5.25e-01,-0.03569708,NA,,
ILMN_1696684,5.25e-01,0.03384197,144953904,FAM90A1,family with sequence similarity 90 member A1
ILMN_1689120,5.25e-01,0.03622522,124487404,FRG2B,FSHD region gene 2 family member B
ILMN_1796005,5.25e-01,0.0334058,109633030,TERT,telomerase reverse transcriptase
ILMN_1745703,5.25e-01,0.04786089,209529710,CORO2A,coronin 2A
ILMN_3232605,5.25e-01,0.03231389,NA,,
ILMN_2363744,5.25e-01,0.03372073,122939205,PACRG,PARK2 coregulated
ILMN_3181361,5.25e-01,-0.0443887,NA,,
ILMN_1752307,5.25e-01,-0.03296764,229892268,FLT1,fms related tyrosine kinase 1
ILMN_2151698,5.25e-01,-0.03165935,371874755,LDHAL6B,lactate dehydrogenase A like 6B
ILMN_1815035,5.25e-01,-0.04025751,121949816,DENND2C,DENN domain containing 2C
ILMN_1703883,5.25e-01,0.02928202,48717233,OR9A2,olfactory receptor family 9 subfamily A member 2
ILMN_2371984,5.25e-01,-0.04129342,588282783,SMAD5,SMAD family member 5
ILMN_1651789,5.25e-01,0.04307996,756761812,VCX2,variable charge, X-linked 2
ILMN_1779758,5.25e-01,-0.03713598,158081768,OR51B4,olfactory receptor family 51 subfamily B member 4
ILMN_2372398,5.25e-01,0.05655717,25777719,ALDH5A1,aldehyde dehydrogenase 5 family member A1
ILMN_1812364,5.25e-01,-0.03560716,NA,,
ILMN_1653940,5.25e-01,0.03692789,188528691,USP2,ubiquitin specific peptidase 2
ILMN_1809336,5.25e-01,0.03668534,62739177,RTKN,rhotekin
ILMN_1712616,5.25e-01,-0.03706259,557440866,ARMC12,armadillo repeat containing 12
ILMN_1902594,5.25e-01,0.04005058,21753601,LOC285147,uncharacterized LOC285147
ILMN_1681641,5.25e-01,0.03618371,569026742,DLEU1,deleted in lymphocytic leukemia 1
ILMN_3308158,5.25e-01,-0.04579461,262206322,MIR330,microRNA 330
ILMN_1677270,5.25e-01,-0.04073927,50233847,OR4D5,olfactory receptor family 4 subfamily D member 5
ILMN_1789162,5.25e-01,-0.05472978,195232755,MAB21L2,mab-21 like 2
ILMN_1892638,5.25e-01,0.06952713,4884230,DKFZP564C152,DKFZP564C152 protein
ILMN_1720114,5.26e-01,-0.04829251,354681981,GMNN,geminin, DNA replication inhibitor
ILMN_1867119,5.26e-01,0.05046983,1955194,,
ILMN_1769187,5.26e-01,0.04449012,NA,,
ILMN_2291083,5.26e-01,-0.03838378,374858048,SLC6A15,solute carrier family 6 member 15
ILMN_3245385,5.26e-01,-0.02959352,NA,,
ILMN_1665554,5.26e-01,-0.04411066,302058312,BRF2,BRF2, RNA polymerase III transcription initiation factor 50 kDa subunit
ILMN_1839941,5.26e-01,0.03987068,5440575,,
ILMN_3187530,5.26e-01,-0.02796568,NA,,
ILMN_1895313,5.26e-01,-0.03323167,15745142,,
ILMN_1726225,5.26e-01,0.03617389,442565688,SERPINI2,serpin family I member 2
ILMN_1787179,5.26e-01,0.05141537,181336738,MEGF11,multiple EGF like domains 11
ILMN_1674633,5.26e-01,0.0441336,321267497,UBE2H,ubiquitin conjugating enzyme E2 H
ILMN_1755019,5.27e-01,0.0443447,NA,,
ILMN_1852526,5.27e-01,-0.04772798,21982095,,
ILMN_1699814,5.27e-01,-0.03881797,325652106,TLL1,tolloid like 1
ILMN_1695280,5.27e-01,-0.04406242,115511019,SMG6,SMG6, nonsense mediated mRNA decay factor
ILMN_1803672,5.27e-01,-0.04722733,NA,,
ILMN_2373335,5.27e-01,0.04350437,299782535,LIG3,DNA ligase 3
ILMN_2217056,5.27e-01,-0.03125111,50959134,BPY2B,basic charge, Y-linked, 2B
ILMN_2091590,5.27e-01,-0.0386167,510785743,ANKLE1,ankyrin repeat and LEM domain containing 1
ILMN_1743911,5.27e-01,-0.05465078,1007393915,SLC25A39,solute carrier family 25 member 39
ILMN_2397406,5.27e-01,0.04177956,6715562,AMELX,amelogenin, X-linked
ILMN_2098499,5.27e-01,-0.0418221,32563553,TTTY12,testis-specific transcript, Y-linked 12 (non-protein coding)
ILMN_1732633,5.27e-01,0.0383901,NA,,
ILMN_1660718,5.27e-01,-0.03481479,284055281,GABBR2,gamma-aminobutyric acid type B receptor subunit 2
ILMN_1811544,5.27e-01,-0.02800713,NA,,
ILMN_1720041,5.27e-01,0.03443727,261878499,MAGEC1,MAGE family member C1
ILMN_1669046,5.27e-01,-0.02711,145309319,FOXQ1,forkhead box Q1
ILMN_3301728,5.27e-01,-0.0308435,NA,,
ILMN_1789048,5.27e-01,0.03783284,NA,,
ILMN_3235088,5.27e-01,-0.03789917,NA,,
ILMN_3273206,5.27e-01,0.0338621,NA,,
ILMN_1771664,5.27e-01,0.06002614,756140821,CLEC4E,C-type lectin domain family 4 member E
ILMN_1732806,5.27e-01,-0.04405457,NA,,
ILMN_1778631,5.27e-01,-0.03586188,116325976,DEFB136,defensin beta 136
ILMN_1833115,5.27e-01,-0.04046062,5914337,,
ILMN_1802248,5.27e-01,0.0475831,91754187,RNF152,ring finger protein 152
ILMN_1714087,5.27e-01,0.03222185,661903009,DGKH,diacylglycerol kinase eta
ILMN_1659601,5.27e-01,-0.03505491,51944958,CCL26,C-C motif chemokine ligand 26
ILMN_1775188,5.27e-01,0.03650349,157388903,DNAAF5,dynein axonemal assembly factor 5
ILMN_1765954,5.27e-01,-0.03259514,4557648,HSD17B3,hydroxysteroid 17-beta dehydrogenase 3
ILMN_1783864,5.27e-01,0.03356722,NA,,
ILMN_3214684,5.27e-01,0.04115523,NA,,
ILMN_1739847,5.27e-01,-0.06758325,83367070,EIF3D,eukaryotic translation initiation factor 3 subunit D
ILMN_2130635,5.27e-01,0.04455259,156139138,FOXRED2,FAD dependent oxidoreductase domain containing 2
ILMN_1757306,5.27e-01,-0.06381869,195539378,SDHAP1,succinate dehydrogenase complex flavoprotein subunit A pseudogene 1
ILMN_1775235,5.27e-01,-0.05418644,68348715,AFF3,AF4/FMR2 family member 3
ILMN_3245113,5.28e-01,0.03690033,94538344,KRT35,keratin 35
ILMN_1674759,5.28e-01,0.04990877,87116680,LPCAT4,lysophosphatidylcholine acyltransferase 4
ILMN_1849068,5.28e-01,0.03017724,12346033,,
ILMN_1779547,5.28e-01,-0.13214141,315360641,HPSE,heparanase
ILMN_2363165,5.28e-01,-0.03496469,630044898,TACC2,transforming acidic coiled-coil containing protein 2
ILMN_1691606,5.28e-01,-0.04071177,31652254,LYG2,lysozyme g2
ILMN_1740395,5.28e-01,-0.05409532,123173756,RAVER1,ribonucleoprotein, PTB binding 1
ILMN_1797566,5.28e-01,0.03794179,224465201,SNAP47,synaptosome associated protein 47
ILMN_1673023,5.28e-01,0.06408694,331284124,EP400,E1A binding protein p400
ILMN_1747105,5.28e-01,-0.02834713,166795237,CAPS2,calcyphosine 2
ILMN_1703599,5.28e-01,-0.02471812,NA,,
ILMN_1823555,5.28e-01,-0.03797345,10724580,,
ILMN_3192411,5.28e-01,-0.03143486,223029486,OLMALINC,oligodendrocyte maturation-associated long intergenic non-coding RNA
ILMN_1717805,5.28e-01,-0.04138018,733214426,NOC4L,nucleolar complex associated 4 homolog
ILMN_1655403,5.28e-01,0.04307979,218505673,ERI2,ERI1 exoribonuclease family member 2
ILMN_3235439,5.28e-01,0.03005605,NA,,
ILMN_3235133,5.28e-01,0.03277764,NA,,
ILMN_3289079,5.28e-01,-0.03883132,NA,,
ILMN_1721224,5.28e-01,0.03809223,NA,,
ILMN_1699634,5.28e-01,-0.03374213,209862788,MICAL3,microtubule associated monooxygenase, calponin and LIM domain containing 3
ILMN_1657497,5.28e-01,-0.02852319,134304839,KIAA0319,KIAA0319
ILMN_1716736,5.28e-01,-0.04490015,113722122,CD80,CD80 molecule
ILMN_1812134,5.28e-01,0.04442117,665821140,EMSY,EMSY, BRCA2 interacting transcriptional repressor
ILMN_1704611,5.28e-01,0.03499175,NA,,
ILMN_1684352,5.28e-01,0.03933204,224548920,TRIM45,tripartite motif containing 45
ILMN_3187571,5.28e-01,-0.03422484,NA,,
ILMN_2085258,5.28e-01,-0.02668813,52317238,OR4D10,olfactory receptor family 4 subfamily D member 10
ILMN_1806314,5.28e-01,0.02902253,NA,,
ILMN_1754842,5.28e-01,-0.08372341,620597365,DLGAP4,DLG associated protein 4
ILMN_1662271,5.28e-01,0.04314311,NA,,
ILMN_3250902,5.28e-01,-0.04002156,393250343,CLEC2D,C-type lectin domain family 2 member D
ILMN_1818538,5.28e-01,-0.04743969,82136839,,
ILMN_1703049,5.28e-01,0.04004528,330864782,AKAP7,A-kinase anchoring protein 7
ILMN_1854348,5.28e-01,-0.04385642,32050055,,
ILMN_1670282,5.28e-01,0.03936632,NA,,
ILMN_2416019,5.28e-01,-0.03236352,110431367,ENTPD8,ectonucleoside triphosphate diphosphohydrolase 8
ILMN_1724149,5.28e-01,0.03408397,327478412,OCLN,occludin
ILMN_1680840,5.29e-01,-0.03879882,NA,,
ILMN_1760683,5.29e-01,0.04183106,38016912,SRSF9,serine and arginine rich splicing factor 9
ILMN_3237256,5.29e-01,0.0360626,228008408,BEND4,BEN domain containing 4
ILMN_1904111,5.29e-01,-0.04761762,19754418,,
ILMN_1682323,5.29e-01,-0.07334847,154759256,DDX51,DEAD-box helicase 51
ILMN_1721578,5.29e-01,0.03730943,23592221,OR5P2,olfactory receptor family 5 subfamily P member 2
ILMN_1769721,5.29e-01,-0.0591053,42490765,SP6,Sp6 transcription factor
ILMN_1902278,5.29e-01,0.03895798,6040471,,
ILMN_1793006,5.29e-01,-0.04228716,NA,,
ILMN_1897405,5.29e-01,0.04027088,24782962,,
ILMN_2363988,5.29e-01,-0.0387518,332309140,GSG1,germ cell associated 1
ILMN_1654288,5.29e-01,-0.03709028,NA,,
ILMN_1694533,5.29e-01,0.03856518,429836857,RMND1,required for meiotic nuclear division 1 homolog
ILMN_1710622,5.29e-01,0.03889427,442796435,DUOXA1,dual oxidase maturation factor 1
ILMN_3237503,5.29e-01,0.04393775,124487386,RNF207,ring finger protein 207
ILMN_1708604,5.29e-01,-0.07559508,56699479,CCZ1,CCZ1 homolog, vacuolar protein trafficking and biogenesis associated
ILMN_1791754,5.29e-01,-0.12248371,311213910,CPT1B,carnitine palmitoyltransferase 1B
ILMN_3237579,5.29e-01,-0.04421646,1010223867,ZNF845,zinc finger protein 845
ILMN_1899638,5.29e-01,0.03463594,13741797,,
ILMN_2396948,5.29e-01,0.04070237,364803810,PSMC3IP,PSMC3 interacting protein
ILMN_3220331,5.29e-01,0.03682952,NA,,
ILMN_1760265,5.29e-01,-0.03261198,NA,,
ILMN_2374778,5.29e-01,-0.041683,70906443,DUT,deoxyuridine triphosphatase
ILMN_3307121,5.29e-01,0.0306212,NA,,
ILMN_1691376,5.29e-01,-0.04439145,168480146,JAG1,jagged 1
ILMN_1806387,5.29e-01,-0.034452,NA,,
ILMN_1653251,5.29e-01,0.03039155,15718716,HIST1H1B,histone cluster 1, H1b
ILMN_1667903,5.29e-01,-0.03890152,NA,,
ILMN_2058841,5.29e-01,-0.05233772,530788319,LILRA6,leukocyte immunoglobulin like receptor A6
ILMN_1854607,5.29e-01,0.03437006,32175333,,
ILMN_3262355,5.29e-01,0.03740396,NA,,
ILMN_2244484,5.29e-01,-0.0399257,242117992,KYAT3,kynurenine aminotransferase 3
